Index	Area	Diameter	Ellipse ratio	Circularity	Convexity	Elongation	Red cursor	Green cursor
1069	3.31309	2.05386	0.823144	0.915656	0.975241	100	0	0
1070	11.4302	3.81489	0.645976	0.952308	1	100	0	0
1071	7.62012	3.11484	0.733511	0.956261	0.985652	100	0	0
1072	9.19383	3.4214	0.81642	0.930399	0.972453	100	0	0
1073	3.72723	2.17845	0.706338	0.918174	1	100	0	0
1074	4.14137	2.29629	0.618451	0.86735	0.993623	65.9338	0	0
1075	12.0928	3.9239	0.837406	0.923428	0.995207	100	0	0
1076	8.28273	3.24745	0.570668	0.874084	0.96982	71.678	0	0
1077	8.28273	3.24745	0.897013	0.965177	0.984452	100	0	0
1078	47.8742	7.80739	0.643823	0.665399	0.806766	20.4453	0	0
1079	3.31309	2.05386	0.854023	0.954642	1	100	0	0
1080	7.62012	3.11484	0.627612	0.925757	0.984942	100	0	0
1081	8.61404	3.31176	0.598738	0.74452	0.901909	29.6655	0	0
1082	7.78577	3.14852	0.911909	0.966603	0.994852	100	0	0
1083	15.4059	4.42893	0.700583	0.872914	0.924271	70.5497	0	0
1084	3.89288	2.22634	0.68065	0.876476	0.98092	74.2263	0	0
1085	30.7289	6.25502	0.432021	0.623566	0.813895	16.9196	0	0
1086	14.9089	4.35691	0.479303	0.805543	0.945083	41.1545	0	0
1087	8.53122	3.2958	0.688984	0.878103	0.981862	76.1968	0	0
1088	8.36556	3.26364	0.733198	0.873203	0.978277	70.8224	0	0
1089	12.4241	3.97729	0.761912	0.889685	0.94126	100	0	0
1090	64.0255	9.02883	0.532179	0.774685	0.879242	34.6187	0	0
1091	6.54336	2.88639	0.4211	0.664935	0.870712	20.4022	0	0
1092	14.412	4.28368	0.866472	0.82576	0.937283	46.73	0	0
1093	28.327	6.00558	0.773485	0.767415	0.908658	33.3195	0	0
1094	13.915	4.20917	0.684452	0.860682	0.949545	61.5032	0	0
1095	13.5009	4.14606	0.711813	0.911964	0.954741	100	0	0
1096	4.63833	2.43017	0.573096	0.95085	1	100	0	0
1097	13.0867	4.08198	0.519182	0.899176	0.99497	100	0	0
1098	12.7554	4.02997	0.854614	0.890787	0.966548	100	0	0
1099	21.0381	5.17558	0.611849	0.918235	0.939346	100	0	0
1100	11.8443	3.88338	0.749671	0.89462	0.968898	100	0	0
1101	16.317	4.55801	0.861423	0.96829	0.978217	100	0	0
1102	8.44839	3.27976	0.727418	0.89729	1	100	0	0
1103	7.70294	3.13172	0.669276	0.842918	0.93062	52.8131	0	0
1104	30.3976	6.22121	0.724405	0.84768	0.945403	54.8325	0	0
1105	4.30702	2.34177	0.492876	0.771296	0.943634	34.0037	0	0
1106	4.80399	2.47318	0.747666	0.920967	0.973499	100	0	0
1107	13.1695	4.09487	0.6146	0.861752	0.902944	62.1547	0	0
1108	9.52514	3.4825	0.749174	0.971188	0.963865	100	0	0
1109	19.4644	4.97824	0.638184	0.907687	0.937076	100	0	0
1110	4.72116	2.45177	0.621368	0.875871	0.965131	73.5462	0	0
1111	7.12315	3.01156	0.718927	0.890922	0.977703	100	0	0
1112	17.3937	4.706	0.439299	0.79701	0.97083	39.1525	0	0
1113	6.21205	2.81237	0.579103	0.903724	0.991037	100	0	0
1114	20.7897	5.14492	0.736737	0.831697	0.875954	48.6589	0	0
1115	3.31309	2.05386	0.82294	0.997089	0.986774	100	0	0
1116	25.8421	5.73613	0.615698	0.873301	0.960184	70.9153	0	0
